Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/aaa.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/aaa.eda.nokia.com/v1,GET,ResourceList,resource_list,true,true,false
/apps/aaa.eda.nokia.com/v1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/aaa.eda.nokia.com/v1/authenticationpolicies,GET,com.nokia.eda.aaa.v1.AuthenticationPolicyList,,false,false,false
/apps/aaa.eda.nokia.com/v1/authenticationpolicystates,GET,com.nokia.eda.aaa.v1.AuthenticationPolicyStateList,,false,false,false
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicies,DELETE,com.nokia.eda.aaa.v1.AuthenticationPolicyList,,false,false,false
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicies,GET,com.nokia.eda.aaa.v1.AuthenticationPolicyList,authentication_policy_list,true,true,false
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicies,POST,com.nokia.eda.aaa.v1.AuthenticationPolicy,authentication_policy,true,false,true
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicies/_deleted,GET,com.nokia.eda.aaa.v1.AuthenticationPolicy_DeletedResources,,false,false,false
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicies/{name},DELETE,Status,authentication_policy,true,false,true
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicies/{name},GET,com.nokia.eda.aaa.v1.AuthenticationPolicy,authentication_policy,true,true,true
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicies/{name},PATCH,com.nokia.eda.aaa.v1.AuthenticationPolicy,,false,false,false
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicies/{name},PUT,com.nokia.eda.aaa.v1.AuthenticationPolicy,authentication_policy,true,false,true
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicies/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicies/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicies/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicystates,DELETE,com.nokia.eda.aaa.v1.AuthenticationPolicyStateList,,false,false,false
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicystates,GET,com.nokia.eda.aaa.v1.AuthenticationPolicyStateList,authentication_policy_state_list,true,true,false
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicystates,POST,com.nokia.eda.aaa.v1.AuthenticationPolicyState,authentication_policy_state,true,false,true
/apps/aaa.eda.nokia.com/v1/namespaces/{namespace}/authenticationpolicystates/_deleted,GET,com.nokia.eda.aaa.v1.AuthenticationPolicyState_DeletedResources,,false,false,false
